player_name,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,needs_manual_review,notes
A Ashish Reddy,1c2a64cd,cricketdata::player_meta,389605,Right hand Bat,Right arm Medium,Allrounder,Allrounder,false,cricsheet_id
A Badoni,872b03f7,cricketdata::player_meta,1151270,Right hand Bat,Right arm Offbreak,Batter,Batter,false,cricsheet_id
A Bengeri,c109497d,cricketdata::player_meta,527897,,,,,false,cricsheet_id
A Chandila,99b202b3,cricketdata::player_meta,27783,Right hand Bat,Right arm Offbreak,Allrounder,Allrounder,false,cricsheet_id
A Chopra,e249fdaa,cricketdata::player_meta,27639,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,Batter,false,cricsheet_id
A Choudhary,18e6906e,cricketdata::player_meta,527299,Right hand Bat,Left arm Medium,Bowler,Bowler,false,cricsheet_id
A Dananjaya,5b16a806,cricketdata::player_meta,574178,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,Allrounder,false,cricsheet_id
A Deshmukh,6fda55cc,cricketdata::player_meta,412593,,,,,false,cricsheet_id
A Flintoff,ddc0828d,cricketdata::player_meta,12856,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
A Kamboj,fcc21ace,cricketdata::player_meta,1175428,Right hand Bat,Right arm Medium,Allrounder,Allrounder,false,cricsheet_id
A Kripal Singh,8f559207,cricketdata::player_meta,30198,Right hand Bat,Right arm Medium,,,false,cricsheet_id
A Kumble,0c2730df,cricketdata::player_meta,30176,Right hand Bat,Legbreak Googly,Bowler,Bowler,false,cricsheet_id
A Manohar,0890552f,cricketdata::player_meta,778963,Right hand Bat,Legbreak Googly,Batting Allrounder,Batting Allrounder,false,cricsheet_id
A Mhatre,b2b4f545,espncricinfo,,Right-handed,Right-arm off-break,Batter,Batter,false,https://www.espncricinfo.com/cricketers/ayush-mhatre-1452455
A Mishra,6b19d823,cricketdata::player_meta,31107,Right hand Bat,Legbreak,Bowler,Bowler,false,cricsheet_id
A Mithun,66cf56a5,cricketdata::player_meta,310958,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
A Mukund,6165bca6,cricketdata::player_meta,302582,Left hand Bat,Legbreak Googly,Top order Batter,Top order Batter,false,cricsheet_id
A Nand Kishore,84424f4f,cricketdata::player_meta,31917,Right hand Bat,Right arm Medium,,,false,cricsheet_id
A Nehra,96fd40ae,cricketdata::player_meta,31820,Right hand Bat,Left arm Medium fast,Bowler,Bowler,false,cricsheet_id
A Nel,2503e881,cricketdata::player_meta,46569,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
A Nortje,acdc62f5,cricketdata::player_meta,481979,Right hand Bat,Right arm Fast,Bowler,Bowler,false,cricsheet_id
A Raghuvanshi,d7017798,cricketdata::player_meta,1292495,Right-hand bat,Slow left-arm orthodox,,,false,cricsheet_id
A Singh,5b040b81,cricketdata::player_meta,26789,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
A Symonds,bd77eb62,cricketdata::player_meta,7702,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,Allrounder,false,cricsheet_id
A Tomar,aa5d8c9e,cricketdata::player_meta,1081183,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,false,cricsheet_id
A Totre,b1d7d7bc,cricketdata::player_meta,961323,,,,,false,cricsheet_id
A Uniyal,fdcb08c2,cricketdata::player_meta,35586,Left hand Bat,Left arm Medium,,,false,cricsheet_id
A Zampa,14f96089,cricketdata::player_meta,379504,Right hand Bat,Legbreak Googly,Bowler,Bowler,false,cricsheet_id
AA Bilakhia,bff458c6,cricketdata::player_meta,26946,Right hand Bat,Right arm Medium,,,false,cricsheet_id
AA Chavan,29d72eb2,cricketdata::player_meta,337913,Left hand Bat,Slow Left arm Orthodox,Batter,Batter,false,cricsheet_id
AA Jhunjhunwala,2815fe50,cricketdata::player_meta,29702,Right hand Bat,Right arm Offbreak,Batter,Batter,false,cricsheet_id
AA Kazi,16605a1b,cricketdata::player_meta,422106,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,false,cricsheet_id
AA Kulkarni,2d140b79,cricketdata::player_meta,1403153,Right-hand bat,Right-arm medium,,,false,cricsheet_id
AA Noffke,b69e69ed,cricketdata::player_meta,6938,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
AB Agarkar,fa463154,cricketdata::player_meta,26184,Right hand Bat,Right arm Fast,Bowler,Bowler,false,cricsheet_id
AB Barath,d3a3e82d,cricketdata::player_meta,274926,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,false,cricsheet_id
AB de Villiers,c4487b84,cricketdata::player_meta,44936,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
AB Dinda,66b30f71,cricketdata::player_meta,227712,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
AB McDonald,16043342,cricketdata::player_meta,6553,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
Abdul Basith,cc777ffa,cricketdata::player_meta,1287067,Right hand Bat,Right arm Offbreak,,,false,cricsheet_id
Abdul Samad,8e514b4c,cricketdata::player_meta,1175485,Right hand Bat,Legbreak,Batter,Batter,false,cricsheet_id
Abdur Razzak,888e32bf,cricketdata::player_meta,56283,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,false,cricsheet_id
Abhijit Bhattacharya,59ec9638,cricketdata::player_meta,733337,,,,,false,cricsheet_id
Abhinandan Singh,82c10dac,espncricinfo,,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,https://www.espncricinfo.com/cricketers/abhinandan-singh-1449085
Abhishek Sharma,f29185a1,cricketdata::player_meta,1070183,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,false,cricsheet_id
Abishek Porel,ad3b6e95,cricketdata::player_meta,1277545,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
AC Blizzard,1efb8a28,cricketdata::player_meta,4498,Left hand Bat,Left arm Medium,Batter,Batter,false,cricsheet_id
AC Gilchrist,2b6e6dec,cricketdata::player_meta,5390,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
AC Thomas,b552a935,cricketdata::player_meta,47569,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
AC Voges,864c199e,cricketdata::player_meta,8119,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Top order Batter,false,cricsheet_id
AD Hales,92aeac25,cricketdata::player_meta,249866,Right hand Bat,Right arm Medium,Opening Batter,Opening Batter,false,cricsheet_id
AD Mascarenhas,3edb58fc,cricketdata::player_meta,16932,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
AD Mathews,896d78ad,cricketdata::player_meta,49764,Right hand Bat,Right arm Medium,Allrounder,Allrounder,false,cricsheet_id
AD Nath,f10e94c4,cricketdata::player_meta,500360,Right hand Bat,Right arm Medium fast,Middle order Batter,Middle order Batter,false,cricsheet_id
AD Russell,bbd41817,cricketdata::player_meta,276298,Right hand Bat,Right arm Fast,Allrounder,Allrounder,false,cricsheet_id
AF Milne,350bb1b1,cricketdata::player_meta,450860,Right hand Bat,Right arm Fast,Bowler,Bowler,false,cricsheet_id
AG Murtaza,ef5da05c,cricketdata::player_meta,26490,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,false,cricsheet_id
AG Paunikar,3a02626a,cricketdata::player_meta,324444,Right hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
AG Wharf,2e0fcc58,cricketdata::player_meta,22380,Right hand Bat,Right arm Medium fast,,,false,cricsheet_id
AJ Finch,b8d490fd,cricketdata::player_meta,5334,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Top order Batter,false,cricsheet_id
AJ Hosein,4d7f517e,cricketdata::player_meta,530812,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,false,cricsheet_id
AJ Pycroft,685d3f80,cricketdata::player_meta,55700,Right hand Bat,Right arm Offbreak,,,false,cricsheet_id
AJ Turner,ff1e12a0,cricketdata::player_meta,500268,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,false,cricsheet_id
AJ Tye,7c7d63a2,cricketdata::player_meta,459508,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
AK Argal,0ee78cf3,cricketdata::player_meta,26432,Right-hand bat,Right-arm medium,,,false,cricsheet_id
AK Chaudhary,fdcc6236,cricketdata::player_meta,265839,,,,,false,cricsheet_id
AK Markram,6a26221c,cricketdata::player_meta,600498,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,false,cricsheet_id
AK Mitra,4e11e004,cricketdata::player_meta,31320,Right hand Bat,Right arm Offbreak,,,false,cricsheet_id
Akash Deep,0a67aec0,cricketdata::player_meta,1176959,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Bowling Allrounder,false,cricsheet_id
Akash Madhwal,4bd09374,cricketdata::player_meta,1206039,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
Akash Singh,b483905d,cricketdata::player_meta,1175458,Right hand Bat,Left arm Medium fast,Bowler,Bowler,false,cricsheet_id
AL Hill,4165ced0,cricketdata::player_meta,37274,,,,,false,cricsheet_id
AL Menaria,8291f939,cricketdata::player_meta,371150,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,false,cricsheet_id
Aleem Dar,f02778d1,cricketdata::player_meta,39157,Right hand Bat,Legbreak,,,false,cricsheet_id
AM Ghazanfar,9ca68676,cricketdata::player_meta,1326798,Right-hand bat,Right-arm offbreak,,,false,cricsheet_id
AM Nayar,a45a5e8d,cricketdata::player_meta,32091,Left hand Bat,Right arm Medium,Allrounder,Allrounder,false,cricsheet_id
AM Rahane,29e95537,cricketdata::player_meta,277916,Right hand Bat,Right arm Medium,Top order Batter,Top order Batter,false,cricsheet_id
AM Saheba,883e3818,cricketdata::player_meta,34544,Right hand Bat,,,,false,cricsheet_id
AM Salvi,260fd380,cricketdata::player_meta,34264,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
Aman Hakim Khan,378daa89,cricketdata::player_meta,1254269,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
Amit Rana,f5db088b,espncricinfo,,Right hand Bat,Right arm Offbreak,Bowler,Bowler,false,https://www.espncricinfo.com/cricketers/amit-rana-1084472
Amit Sharma,7ea3e0cc,cricketdata::player_meta,34228,Right hand Bat,Right arm Offbreak,,,false,cricsheet_id
AN Ahmed,2af1b6d2,cricketdata::player_meta,228430,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
AN Ghosh,7023d182,cricketdata::player_meta,220435,Right hand Bat,Right arm Medium,Batter,Batter,false,cricsheet_id
Anand Rajan,d2340a43,cricketdata::player_meta,26797,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
Aniket Verma,a3b0600d,cricketdata::player_meta,1409976,Right-hand bat,Right-arm medium-fast,,,false,cricsheet_id
Anirudh Singh,7bb62642,cricketdata::player_meta,26252,Left hand Bat,Right arm Medium,,,false,cricsheet_id
Anish Sahasrabudhe,2892df67,cricketdata::player_meta,428190,,,,,false,cricsheet_id
Ankit Sharma,24d94623,cricketdata::player_meta,422992,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,false,cricsheet_id
Ankit Soni,f18ba07f,cricketdata::player_meta,1083128,Right hand Bat,Legbreak,Allrounder,Allrounder,false,cricsheet_id
Anmolpreet Singh,1399b39c,cricketdata::player_meta,851261,Right hand Bat,Right arm Offbreak,Batter,Batter,false,cricsheet_id
Anuj Rawat,c8f5f961,cricketdata::player_meta,1123073,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
Anureet Singh,69be866a,cricketdata::player_meta,376324,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
AP Dole,dbc50253,cricketdata::player_meta,236694,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
AP Majumdar,f4cb4f53,cricketdata::player_meta,31750,Right hand Bat,Legbreak Googly,,,false,cricsheet_id
AP Tare,855a210c,cricketdata::player_meta,333904,Right hand Bat,,Wicketkeeper,Wicketkeeper,false,cricsheet_id
AR Bawne,afe3355a,cricketdata::player_meta,327123,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,false,cricsheet_id
AR Patel,2e171977,cricketdata::player_meta,554691,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Bowling Allrounder,false,cricsheet_id
Arjun Tendulkar,44aac2f0,cricketdata::player_meta,1148776,Left hand Bat,Left arm Medium fast,Bowler,Bowler,false,cricsheet_id
Arshad Khan,12314277,cricketdata::player_meta,1244751,Left hand Bat,Left arm Medium,Bowler,Bowler,false,cricsheet_id
Arshad Khan (2),12314277,cricketdata::player_meta,1244751,Left hand Bat,Left arm Medium,Bowler,Bowler,false,cricsheet_id
Arshdeep Singh,244048f6,cricketdata::player_meta,1125976,Left hand Bat,Left arm Medium fast,Bowler,Bowler,false,cricsheet_id
AS Joseph,b0946605,cricketdata::player_meta,670031,Right hand Bat,Right arm Fast,Bowler,Bowler,false,cricsheet_id
AS Pathania,bf6c251d,cricketdata::player_meta,32272,Right hand Bat,Right arm Medium,,,false,cricsheet_id
AS Rajpoot,db31895a,cricketdata::player_meta,591650,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
AS Raut,c69a7b5c,cricketdata::player_meta,230593,Right hand Bat,Legbreak Googly,Allrounder,Allrounder,false,cricsheet_id
AS Roy,e4cdf230,cricketdata::player_meta,1079839,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,false,cricsheet_id
AS Yadav,b9be6507,cricketdata::player_meta,36110,Right hand Bat,Right arm Offbreak,Batter,Batter,false,cricsheet_id
Asad Rauf,861606b7,cricketdata::player_meta,39219,Right hand Bat,Right arm Offbreak,,,false,cricsheet_id
Ashok Sharma,50c09020,ipl.com,,Right Handed Bat,Right-arm medium-fast,Bowler,Bowler,false,https://www.ipl.com/cricket/series/ashok-sharma/
Ashutosh Sharma,84d9c311,cricketdata::player_meta,1131978,Right hand Bat,,,,false,cricsheet_id
Ashwani Kumar,d45c29b1,cricketdata::player_meta,1209126,Left hand Bat,Left arm Medium,,,false,cricsheet_id
AT Carey,69d03465,cricketdata::player_meta,326434,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
AT Holdstock,6fa3258c,cricketdata::player_meta,45448,Right hand Bat,Right arm Fast medium,,,false,cricsheet_id
AT Rayudu,70d205c9,cricketdata::player_meta,33141,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,false,cricsheet_id
Atharva Taide,1ac746c8,cricketdata::player_meta,1125958,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,Batting Allrounder,false,cricsheet_id
AU Rashid,249d60c9,cricketdata::player_meta,244497,Right hand Bat,Legbreak,Bowler,Bowler,false,cricsheet_id
AUK Pathan,3ae3f034,cricketdata::player_meta,430401,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
Auqib Nabi,7c3c0337,cricketdata::player_meta,1159732,Right hand Bat,Right arm Medium,,,false,cricsheet_id
AV Jayaprakash,bde6e9ef,cricketdata::player_meta,29691,,,,,false,cricsheet_id
AV Wankhade,5708d0b6,cricketdata::player_meta,505773,Right hand Bat,Right arm Medium,Middle order Batter,Middle order Batter,false,cricsheet_id
Avesh Khan,eef2536f,cricketdata::player_meta,694211,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
AY Dandekar,2efc430e,cricketdata::player_meta,27986,,,,,false,cricsheet_id
Azhar Mahmood,9a158001,cricketdata::player_meta,39024,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Bowling Allrounder,false,cricsheet_id
Azmatullah Omarzai,8f6dd463,cricketdata::player_meta,819429,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder,false,cricsheet_id
B Akhil,af7dadf7,cricketdata::player_meta,26206,Right hand Bat,Right arm Medium fast,Bowler,Bowler,false,cricsheet_id
B Aparajith,5b627626,cricketdata::player_meta,477071,Right hand Bat,Right arm Offbreak,Batting Allrounder,Batting Allrounder,false,cricsheet_id
B Chipli,5451a2c1,cricketdata::player_meta,27685,Right hand Bat,Right arm Medium,Batter,Batter,false,cricsheet_id
B Geeves,50758325,cricketdata::player_meta,5472,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
B Indrajith,ff1e68fa,cricketdata::player_meta,477069,Right hand Bat,Legbreak Googly,Top order Batter,Top order Batter,false,cricsheet_id
B Kumar,2e81a32d,cricketdata::player_meta,326016,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
B Laughlin,b2a79f17,cricketdata::player_meta,315623,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
B Lee,dd09ff8e,cricketdata::player_meta,6278,Right hand Bat,Right arm Fast,Bowler,Bowler,false,cricsheet_id
B Muzarabani,449f4e3c,cricketdata::player_meta,827051,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
B Sai Sudharsan,d5130a30,cricketdata::player_meta,1151288,Left hand Bat,Legbreak,Top order Batter,Top order Batter,false,cricsheet_id
B Stanlake,6834d1f2,cricketdata::player_meta,533042,Left hand Bat,Right arm Fast,Bowler,Bowler,false,cricsheet_id
B Sumanth,f4f0fafd,cricketdata::player_meta,253798,Right hand Bat,Right arm Medium fast,Middle order Batter,Middle order Batter,false,cricsheet_id
B Vij,470050ff,cricketdata::player_meta,35796,Right hand Bat,Slow Left arm Orthodox,,,false,cricsheet_id
BA Bhatt,dc4686e6,cricketdata::player_meta,433410,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,false,cricsheet_id
BA Stokes,e087956b,cricketdata::player_meta,311158,Left hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
Basil Thampi,871e9faf,cricketdata::player_meta,732291,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
BAW Mendis,ea0cdc12,cricketdata::player_meta,268739,Right hand Bat,Right arm Offbreak,Bowler,Bowler,false,cricsheet_id
BB McCullum,b8a55852,cricketdata::player_meta,37737,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
BB Samantray,53f27a35,cricketdata::player_meta,430125,Right hand Bat,Right arm Medium,Allrounder,Allrounder,false,cricsheet_id
BB Sran,d8b2f218,cricketdata::player_meta,537126,Left hand Bat,Left arm Medium,Bowler,Bowler,false,cricsheet_id
BCJ Cutting,2e11c706,cricketdata::player_meta,230371,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
BE Hendricks,b56dc5f7,cricketdata::player_meta,379927,Left hand Bat,Left arm Fast medium,Bowler,Bowler,false,cricsheet_id
BF Bowden,efc0a862,cricketdata::player_meta,36339,,,,,false,cricsheet_id
BG Jerling,26457e41,cricketdata::player_meta,45726,,,,,false,cricsheet_id
Bhavesh Patel,ee03dc30,cricketdata::player_meta,1344419,,,,,false,cricsheet_id
Bipul Sharma,c18496e1,cricketdata::player_meta,35928,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,false,cricsheet_id
BJ Haddin,b0c772ee,cricketdata::player_meta,5560,Right hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
BJ Hodge,b57f8a9a,cricketdata::player_meta,5674,Right hand Bat,Right arm Offbreak,Top order Batter,Top order Batter,false,cricsheet_id
BJ Rohrer,27af6414,cricketdata::player_meta,7547,Left hand Bat,,Middle order Batter,Middle order Batter,false,cricsheet_id
BK Ravi,ff8c3cfb,cricketdata::player_meta,30712,Right hand Bat,Left arm Medium,,,false,cricsheet_id
BKG Mendis,5d1e7582,cricketdata::player_meta,629074,Right hand Bat,Legbreak,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
BMAJ Mendis,9868bc75,cricketdata::player_meta,49700,Left hand Bat,Legbreak,Allrounder,Allrounder,false,cricsheet_id
BNJ Oxenford,c1add349,cricketdata::player_meta,7029,Right hand Bat,Legbreak Googly,,,false,cricsheet_id
BR Doctrove,cbebf805,cricketdata::player_meta,51662,Right hand Bat,,,,false,cricsheet_id
BR Dunk,272d796e,cricketdata::player_meta,388678,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
BR Sharath,c2dd89ea,cricketdata::player_meta,917231,Right hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,false,cricsheet_id
Brijesh Sharma,133bbd61,ipl.com,,Right-handed,Right-arm medium-fast,All-Rounder,All-Rounder,true,https://www.ipl.com/cricket/series/brijesh-sharma/ ; public text suggests bowling-heavy all-rounder but kept generic pending verification
BW Hilfenhaus,f3171936,cricketdata::player_meta,5941,Right hand Bat,Right arm Fast medium,Bowler,Bowler,false,cricsheet_id
C Bosch,172dff15,cricketdata::player_meta,594322,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,false,cricsheet_id
C Connolly,fe366f34,cricketdata::player_meta,1210488,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Top order Batter,false,cricsheet_id
C de Grandhomme,94d7f855,cricketdata::player_meta,55395,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder,false,cricsheet_id
C Ganapathy,798934ea,cricketdata::player_meta,28764,Right hand Bat,Right arm Medium,,,false,cricsheet_id
C Green,eaa76d3c,cricketdata::player_meta,1076713,Right hand Bat,Right arm Fast medium,Batting Allrounder,Batting Allrounder,false,cricsheet_id
C Madan,2eeb4370,cricketdata::player_meta,31104,Right hand Bat,,Wicketkeeper,Wicketkeeper,false,cricsheet_id
C Munro,af2c687b,cricketdata::player_meta,232359,Left hand Bat,Right arm Medium fast,Opening Batter,Opening Batter,false,cricsheet_id
C Nanda,f24ca2ba,cricketdata::player_meta,32093,Right hand Bat,Legbreak,,,false,cricsheet_id
C Sakariya,2cdce1be,cricketdata::player_meta,1131754,Left hand Bat,Left arm Medium fast,Bowler,Bowler,false,cricsheet_id
C Shamshuddin,0f9d921b,cricketdata::player_meta,340535,,,,,false,cricsheet_id
CA Ingram,c995d726,cricketdata::player_meta,45705,Left hand Bat,Legbreak,Top order Batter,Top order Batter,false,cricsheet_id
CA Lynn,45eda7c8,cricketdata::player_meta,326637,Right hand Bat,Slow Left arm Orthodox,Batter,Batter,false,cricsheet_id
CA Pujara,d4f9dbd4,cricketdata::player_meta,32540,Right hand Bat,Legbreak,Top order Batter,Top order Batter,false,cricsheet_id
CB Gaffaney,d5ac41d8,cricketdata::player_meta,37097,Right hand Bat,,,,false,cricsheet_id
CH Gayle,db584dad,cricketdata::player_meta,51880,Left hand Bat,Right arm Offbreak,Allrounder,Allrounder,false,cricsheet_id
CH Lloyd,5b445db0,cricketdata::player_meta,52345,Left hand Bat,Right arm Medium,Middle order Batter,Middle order Batter,false,cricsheet_id
CH Morris,fb66ce1f,cricketdata::player_meta,439952,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Bowling Allrounder,false,cricsheet_id
Chinmay Sharma,83250fea,cricketdata::player_meta,34631,Right hand Bat,Right arm Medium,,,false,cricsheet_id
Chirra Ravikanthreddy,8b680f55,cricketdata::player_meta,391442,,,,,false,cricsheet_id
CJ Anderson,8abdf100,cricketdata::player_meta,277662,Left hand Bat,Left arm Medium fast,Batting Allrounder,Batting Allrounder,false,cricsheet_id
CJ Dala,1cb14aa4,cricketdata::player_meta,545467,Right hand Bat,Right arm Medium,Bowler,Bowler,false,cricsheet_id
