match_id,season,match_date,event_name,match_number,venue_raw,venue,city_raw,city,team1_raw,team1,team2_raw,team2,toss_winner_raw,toss_winner,toss_decision,winner_raw,winner,winner_runs,winner_wickets,player_of_match
335982,2008,2008-04-18,Indian Premier League,1,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bangalore,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bengaluru,field,Kolkata Knight Riders,Kolkata Knight Riders,140,0,BB McCullum
335983,2008,2008-04-19,Indian Premier League,2,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Kings XI Punjab,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,33,0,MEK Hussey
335984,2008,2008-04-19,Indian Premier League,3,Feroz Shah Kotla,Feroz Shah Kotla,Delhi,Delhi,Delhi Daredevils,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,Delhi Capitals,0,9,MF Maharoof
335985,2008,2008-04-20,Indian Premier League,5,Wankhede Stadium,Wankhede Stadium,Mumbai,Mumbai,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,Royal Challengers Bengaluru,0,5,MV Boucher
335986,2008,2008-04-20,Indian Premier League,4,Eden Gardens,Eden Gardens,Kolkata,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,Kolkata Knight Riders,0,5,DJ Hussey
335987,2008,2008-04-21,Indian Premier League,6,Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur,Jaipur,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Punjab Kings,Kings XI Punjab,Punjab Kings,bat,Rajasthan Royals,Rajasthan Royals,0,6,SR Watson
335988,2008,2008-04-22,Indian Premier League,7,"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Uppal",Hyderabad,Hyderabad,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Delhi Daredevils,Delhi Capitals,0,9,V Sehwag
335989,2008,2008-04-23,Indian Premier League,8,"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium,Chennai,Chennai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,6,0,ML Hayden
335990,2008,2008-04-24,Indian Premier League,9,"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Uppal",Hyderabad,Hyderabad,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Rajasthan Royals,0,3,YK Pathan
335991,2008,2008-04-25,Indian Premier League,10,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Kings XI Punjab,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Punjab Kings,66,0,KC Sangakkara
