match_id,season,match_date,innings,venue_raw,venue,city_raw,city,batting_team_raw,batting_team,bowling_team_raw,bowling_team,total_runs,batter_runs,extras,wickets_lost,valid_balls,overs_batted,boundary_runs,fours,sixes,dot_balls,wide_runs,no_ball_runs,byes,leg_byes,powerplay_runs,powerplay_wickets,powerplay_valid_balls,powerplay_boundary_runs,powerplay_fours,powerplay_sixes,powerplay_dot_balls,middle_runs,middle_wickets,middle_valid_balls,middle_boundary_runs,middle_fours,middle_sixes,middle_dot_balls,death_runs,death_wickets,death_valid_balls,death_boundary_runs,death_fours,death_sixes,death_dot_balls
335982,2008,2008-04-18,1,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bangalore,Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bengaluru,222,205,17,3,120,20,144,15,14,36,9,0,4,4,61,1,36,46,7,3,17,93,1,54,50,5,5,12,68,1,30,48,3,6,7
335982,2008,2008-04-18,2,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bangalore,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,82,63,19,10,91,15.17,30,3,3,50,11,0,0,8,26,4,36,6,0,1,21,55,5,54,24,3,2,28,1,1,1,0,0,0,1
335983,2008,2008-04-19,1,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Punjab Kings,240,234,6,5,120,20,176,20,16,34,3,1,0,2,53,1,36,42,9,1,19,108,3,54,72,6,8,11,79,1,30,62,5,7,4
335983,2008,2008-04-19,2,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Kings XI Punjab,Punjab Kings,Chennai Super Kings,Chennai Super Kings,207,196,11,4,120,20,126,18,9,23,5,0,2,4,63,1,36,46,7,3,12,102,2,54,66,9,5,7,42,1,30,14,2,1,4
335984,2008,2008-04-19,1,Feroz Shah Kotla,Feroz Shah Kotla,Delhi,Delhi,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Delhi Capitals,129,122,7,8,120,20,74,14,3,54,3,0,1,3,40,2,36,30,6,1,20,56,5,54,24,3,2,20,33,1,30,20,5,0,14
335984,2008,2008-04-19,2,Feroz Shah Kotla,Feroz Shah Kotla,Delhi,Delhi,Delhi Daredevils,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,132,122,10,1,91,15.17,78,18,1,31,10,0,0,0,55,1,36,46,10,1,18,73,0,54,28,7,0,13,4,0,1,4,1,0,0
335985,2008,2008-04-20,1,Wankhede Stadium,Wankhede Stadium,Mumbai,Mumbai,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bengaluru,165,154,11,7,120,20,102,18,5,45,3,0,2,6,47,3,36,34,7,1,21,58,1,54,26,5,1,19,60,3,30,42,6,3,5
335985,2008,2008-04-20,2,Wankhede Stadium,Wankhede Stadium,Mumbai,Mumbai,Royal Challengers Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,166,161,5,5,118,19.67,96,15,6,36,5,0,0,0,40,1,36,24,6,0,15,78,3,54,42,6,3,15,48,1,28,30,3,3,6
335986,2008,2008-04-20,1,Eden Gardens,Eden Gardens,Kolkata,Kolkata,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,110,100,10,10,112,18.67,60,6,6,62,4,2,0,4,39,2,36,20,2,2,21,38,4,54,18,3,1,31,33,4,22,22,1,3,10
335986,2008,2008-04-20,2,Eden Gardens,Eden Gardens,Kolkata,Kolkata,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,112,84,28,5,114,19,44,5,4,61,15,1,4,8,26,3,36,8,2,0,20,55,1,54,16,1,2,32,31,1,24,20,2,2,9
