match_id,season,match_date,match_type,event_name,stage,venue_raw,venue,city_raw,city,team1_raw,team1,team2_raw,team2,toss_winner_raw,toss_winner,toss_decision,winner_raw,winner,result_margin,result_type,method,player_of_match,superover_winner_raw,superover_winner
335982,2008,2008-04-18,T20,Indian Premier League,Unknown,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bangalore,Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bengaluru,Royal Challengers Bangalore,Royal Challengers Bengaluru,field,Kolkata Knight Riders,Kolkata Knight Riders,140 runs,NA,NA,BB McCullum,NA,NA
335983,2008,2008-04-19,T20,Indian Premier League,Unknown,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,33 runs,NA,NA,MEK Hussey,NA,NA
335984,2008,2008-04-19,T20,Indian Premier League,Unknown,Feroz Shah Kotla,Feroz Shah Kotla,Delhi,Delhi,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,Delhi Capitals,9 wickets,NA,NA,MF Maharoof,NA,NA
335985,2008,2008-04-20,T20,Indian Premier League,Unknown,Wankhede Stadium,Wankhede Stadium,Mumbai,Mumbai,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,Royal Challengers Bengaluru,5 wickets,NA,NA,MV Boucher,NA,NA
335986,2008,2008-04-20,T20,Indian Premier League,Unknown,Eden Gardens,Eden Gardens,Kolkata,Kolkata,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,Kolkata Knight Riders,5 wickets,NA,NA,DJ Hussey,NA,NA
335987,2008,2008-04-21,T20,Indian Premier League,Unknown,Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur,Jaipur,Kings XI Punjab,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Punjab Kings,bat,Rajasthan Royals,Rajasthan Royals,6 wickets,NA,NA,SR Watson,NA,NA
335988,2008,2008-04-22,T20,Indian Premier League,Unknown,"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Uppal",Hyderabad,Hyderabad,Deccan Chargers,Deccan Chargers,Delhi Daredevils,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Delhi Daredevils,Delhi Capitals,9 wickets,NA,NA,V Sehwag,NA,NA
335989,2008,2008-04-23,T20,Indian Premier League,Unknown,"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium,Chennai,Chennai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,Chennai Super Kings,6 runs,NA,NA,ML Hayden,NA,NA
335990,2008,2008-04-24,T20,Indian Premier League,Unknown,"Rajiv Gandhi International Stadium, Uppal","Rajiv Gandhi International Stadium, Uppal",Hyderabad,Hyderabad,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Rajasthan Royals,3 wickets,NA,NA,YK Pathan,NA,NA
335991,2008,2008-04-25,T20,Indian Premier League,Unknown,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Kings XI Punjab,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Punjab Kings,66 runs,NA,NA,KC Sangakkara,NA,NA
335992,2008,2008-04-26,T20,Indian Premier League,Unknown,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bangalore,Bengaluru,Royal Challengers Bangalore,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Rajasthan Royals,7 wickets,NA,NA,SR Watson,NA,NA
335993,2008,2008-04-26,T20,Indian Premier League,Unknown,"MA Chidambaram Stadium, Chepauk",MA Chidambaram Stadium,Chennai,Chennai,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,Chennai Super Kings,9 wickets,NA,NA,JDP Oram,NA,NA
335994,2008,2008-04-27,T20,Indian Premier League,Unknown,Dr DY Patil Sports Academy,Dr DY Patil Sports Academy,Mumbai,Mumbai,Mumbai Indians,Mumbai Indians,Deccan Chargers,Deccan Chargers,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,Deccan Chargers,10 wickets,NA,NA,AC Gilchrist,NA,NA
335995,2008,2008-04-27,T20,Indian Premier League,Unknown,"Punjab Cricket Association Stadium, Mohali","Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Chandigarh,Delhi Daredevils,Delhi Capitals,Kings XI Punjab,Punjab Kings,Delhi Daredevils,Delhi Capitals,bat,Kings XI Punjab,Punjab Kings,4 wickets,NA,NA,SM Katich,NA,NA
335996,2008,2008-04-28,T20,Indian Premier League,Unknown,M Chinnaswamy Stadium,M Chinnaswamy Stadium,Bangalore,Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,Chennai Super Kings,13 runs,NA,NA,MS Dhoni,NA,NA
