player_name,player_name_key,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,batting_hand,bowling_style_canonical,bowling_style_family,role_canonical,is_keeper,is_bowling_option,is_spin_option,is_pace_option,needs_manual_review,notes
A Ashish Reddy,a ashish reddy,1c2a64cd,cricketdata::player_meta,389605,Right hand Bat,Right arm Medium,Allrounder,Allrounder,right,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
A Badoni,a badoni,872b03f7,cricketdata::player_meta,1151270,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
A Bengeri,a bengeri,c109497d,cricketdata::player_meta,527897,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
A Chandila,a chandila,99b202b3,cricketdata::player_meta,27783,Right hand Bat,Right arm Offbreak,Allrounder,Allrounder,right,Right arm Offbreak,spin,all_rounder,false,true,true,false,false,cricsheet_id
A Chopra,a chopra,e249fdaa,cricketdata::player_meta,27639,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,Batter,right,"Right arm Medium, Right arm Offbreak",spin,batter,false,true,true,false,false,cricsheet_id
A Choudhary,a choudhary,18e6906e,cricketdata::player_meta,527299,Right hand Bat,Left arm Medium,Bowler,Bowler,right,Left arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
A Dananjaya,a dananjaya,5b16a806,cricketdata::player_meta,574178,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,Allrounder,left,"Right arm Offbreak, Legbreak",spin,all_rounder,false,true,true,false,false,cricsheet_id
A Deshmukh,a deshmukh,6fda55cc,cricketdata::player_meta,412593,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
A Flintoff,a flintoff,ddc0828d,cricketdata::player_meta,12856,Right hand Bat,Right arm Fast medium,Allrounder,Allrounder,right,Right arm Fast medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
A Kamboj,a kamboj,fcc21ace,cricketdata::player_meta,1175428,Right hand Bat,Right arm Medium,Allrounder,Allrounder,right,Right arm Medium,pace,all_rounder,false,true,false,true,false,cricsheet_id
A Kripal Singh,a kripal singh,8f559207,cricketdata::player_meta,30198,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
A Kumble,a kumble,0c2730df,cricketdata::player_meta,30176,Right hand Bat,Legbreak Googly,Bowler,Bowler,right,Legbreak Googly,spin,bowler,false,true,true,false,false,cricsheet_id
A Manohar,a manohar,0890552f,cricketdata::player_meta,778963,Right hand Bat,Legbreak Googly,Batting Allrounder,Batting Allrounder,right,Legbreak Googly,spin,batting_all_rounder,false,true,true,false,false,cricsheet_id
A Mishra,a mishra,6b19d823,cricketdata::player_meta,31107,Right hand Bat,Legbreak,Bowler,Bowler,right,Legbreak,spin,bowler,false,true,true,false,false,cricsheet_id
A Mithun,a mithun,66cf56a5,cricketdata::player_meta,310958,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
A Mukund,a mukund,6165bca6,cricketdata::player_meta,302582,Left hand Bat,Legbreak Googly,Top order Batter,Top order Batter,left,Legbreak Googly,spin,batter,false,true,true,false,false,cricsheet_id
A Nand Kishore,a nand kishore,84424f4f,cricketdata::player_meta,31917,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
A Nehra,a nehra,96fd40ae,cricketdata::player_meta,31820,Right hand Bat,Left arm Medium fast,Bowler,Bowler,right,Left arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
A Nel,a nel,2503e881,cricketdata::player_meta,46569,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
A Nortje,a nortje,acdc62f5,cricketdata::player_meta,481979,Right hand Bat,Right arm Fast,Bowler,Bowler,right,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
A Raghuvanshi,a raghuvanshi,d7017798,cricketdata::player_meta,1292495,Right-hand bat,Slow left-arm orthodox,,,right,Slow left-arm orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
A Singh,a singh,5b040b81,cricketdata::player_meta,26789,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
A Symonds,a symonds,bd77eb62,cricketdata::player_meta,7702,Right hand Bat,"Right arm Medium, Right arm Offbreak",Allrounder,Allrounder,right,"Right arm Medium, Right arm Offbreak",spin,all_rounder,false,true,true,false,false,cricsheet_id
A Tomar,a tomar,aa5d8c9e,cricketdata::player_meta,1081183,Right hand Bat,Right arm Offbreak,Opening Batter,Opening Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
A Totre,a totre,b1d7d7bc,cricketdata::player_meta,961323,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
A Uniyal,a uniyal,fdcb08c2,cricketdata::player_meta,35586,Left hand Bat,Left arm Medium,,,left,Left arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
A Zampa,a zampa,14f96089,cricketdata::player_meta,379504,Right hand Bat,Legbreak Googly,Bowler,Bowler,right,Legbreak Googly,spin,bowler,false,true,true,false,false,cricsheet_id
AA Bilakhia,aa bilakhia,bff458c6,cricketdata::player_meta,26946,Right hand Bat,Right arm Medium,,,right,Right arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
AA Chavan,aa chavan,29d72eb2,cricketdata::player_meta,337913,Left hand Bat,Slow Left arm Orthodox,Batter,Batter,left,Slow Left arm Orthodox,spin,batter,false,true,true,false,false,cricsheet_id
AA Jhunjhunwala,aa jhunjhunwala,2815fe50,cricketdata::player_meta,29702,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
