player_name,cricsheet_person_id,source_name,source_player_id,source_full_name,match_strategy,match_confidence,needs_manual_review
A Ashish Reddy,1c2a64cd,cricketdata::player_meta,389605,Ammana Ashish Reddy,cricsheet_id,high,false
A Badoni,872b03f7,cricketdata::player_meta,1151270,Ayush Badoni,cricsheet_id,high,false
A Bengeri,c109497d,cricketdata::player_meta,527897,Abhijit Uday Kumar Bengeri,cricsheet_id,high,false
A Chandila,99b202b3,cricketdata::player_meta,27783,Ajit  Chandila,cricsheet_id,high,false
A Chopra,e249fdaa,cricketdata::player_meta,27639,Aakash Chopra,cricsheet_id,high,false
A Choudhary,18e6906e,cricketdata::player_meta,527299,Aniket Vinod Choudhary,cricsheet_id,high,false
A Dananjaya,5b16a806,cricketdata::player_meta,574178,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,cricsheet_id,high,false
A Deshmukh,6fda55cc,cricketdata::player_meta,412593,Abhijit Deshmukh,cricsheet_id,high,false
A Flintoff,ddc0828d,cricketdata::player_meta,12856,Andrew Flintoff,cricsheet_id,high,false
A Kamboj,fcc21ace,cricketdata::player_meta,1175428,Anshul Kamboj,cricsheet_id,high,false
A Kripal Singh,8f559207,cricketdata::player_meta,30198,Arjan Kripal Singh,cricsheet_id,high,false
A Kumble,0c2730df,cricketdata::player_meta,30176,Anil Kumble,cricsheet_id,high,false
A Manohar,0890552f,cricketdata::player_meta,778963,Abhinav Manohar,cricsheet_id,high,false
A Mhatre,b2b4f545,espncricinfo,,A Mhatre,existing_espncricinfo,manual,false
A Mishra,6b19d823,cricketdata::player_meta,31107,Amit Mishra,cricsheet_id,high,false
A Mithun,66cf56a5,cricketdata::player_meta,310958,Abhimanyu Mithun,cricsheet_id,high,false
A Mukund,6165bca6,cricketdata::player_meta,302582,Abhinav Mukund,cricsheet_id,high,false
A Nand Kishore,84424f4f,cricketdata::player_meta,31917,Ammanabrole Nand Kishore,cricsheet_id,high,false
A Nehra,96fd40ae,cricketdata::player_meta,31820,Ashish Nehra,cricsheet_id,high,false
A Nel,2503e881,cricketdata::player_meta,46569,Andre Nel,cricsheet_id,high,false
A Nortje,acdc62f5,cricketdata::player_meta,481979,Anrich Arno Nortje,cricsheet_id,high,false
A Raghuvanshi,d7017798,cricketdata::player_meta,1292495,Angkrish Raghuvanshi,cricsheet_id,high,false
A Singh,5b040b81,cricketdata::player_meta,26789,Amit Singh,cricsheet_id,high,false
A Symonds,bd77eb62,cricketdata::player_meta,7702,Andrew Symonds,cricsheet_id,high,false
A Tomar,aa5d8c9e,cricketdata::player_meta,1081183,Abhijeet Tomar,cricsheet_id,high,false
A Totre,b1d7d7bc,cricketdata::player_meta,961323,Akshay Totre,cricsheet_id,high,false
A Uniyal,fdcb08c2,cricketdata::player_meta,35586,Amit Uniyal,cricsheet_id,high,false
A Zampa,14f96089,cricketdata::player_meta,379504,Adam Zampa,cricsheet_id,high,false
AA Bilakhia,bff458c6,cricketdata::player_meta,26946,Azharuddin Anjum Bilakhia,cricsheet_id,high,false
AA Chavan,29d72eb2,cricketdata::player_meta,337913,Ankeet Anil Chavan,cricsheet_id,high,false
AA Jhunjhunwala,2815fe50,cricketdata::player_meta,29702,Abhishek Arunkumar Jhunjhunwala,cricsheet_id,high,false
AA Kazi,16605a1b,cricketdata::player_meta,422106,Abrar Anjum Kazi,cricsheet_id,high,false
AA Kulkarni,2d140b79,cricketdata::player_meta,1403153,Arshin Atul Kulkarni,cricsheet_id,high,false
AA Noffke,b69e69ed,cricketdata::player_meta,6938,Ashley Allan Noffke,cricsheet_id,high,false
AB Agarkar,fa463154,cricketdata::player_meta,26184,Ajit Bhalchandra Agarkar,cricsheet_id,high,false
AB Barath,d3a3e82d,cricketdata::player_meta,274926,Adrian Boris Barath,cricsheet_id,high,false
AB de Villiers,c4487b84,cricketdata::player_meta,44936,Abraham Benjamin de Villiers,cricsheet_id,high,false
AB Dinda,66b30f71,cricketdata::player_meta,227712,Ashok Bhimchandra Dinda,cricsheet_id,high,false
AB McDonald,16043342,cricketdata::player_meta,6553,Andrew Barry McDonald,cricsheet_id,high,false
Abdul Basith,cc777ffa,cricketdata::player_meta,1287067,Pappanayil Abdul Basith,cricsheet_id,high,false
Abdul Samad,8e514b4c,cricketdata::player_meta,1175485,Abdul Samad Farooq,cricsheet_id,high,false
Abdur Razzak,888e32bf,cricketdata::player_meta,56283,Abdur Razzak,cricsheet_id,high,false
Abhijit Bhattacharya,59ec9638,cricketdata::player_meta,733337,Abhijit Bhattacharya,cricsheet_id,high,false
Abhinandan Singh,82c10dac,espncricinfo,,Abhinandan Singh,existing_espncricinfo,manual,false
Abhishek Sharma,f29185a1,cricketdata::player_meta,1070183,Abhishek Sharma,cricsheet_id,high,false
Abishek Porel,ad3b6e95,cricketdata::player_meta,1277545,Abishek Porel,cricsheet_id,high,false
AC Blizzard,1efb8a28,cricketdata::player_meta,4498,Aiden Craig Blizzard,cricsheet_id,high,false
